Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,16 to 19,56,0,54,0,1,1,0,0,7,7
,20 to 24,39,0,34,0,1,3,0,1,3,9
,25 to 34,61,0,53,0,5,2,1,0,7,6
,35 to 49,219,0,183,0,20,10,0,6,3,6
,50 to 64,254,0,247,0,2,1,0,4,4,10
,65 to 74,98,0,98,0,0,0,0,0,2,1
,75 and over,81,0,80,0,1,0,0,0,0,1
S01000057,All people,699,10,637,2,30,7,3,10,53,19
,0 to 15,170,10,152,0,4,3,0,1,16,4
,16 to 19,45,0,42,1,2,0,0,0,3,2
,20 to 24,52,0,41,0,7,1,2,1,9,4
,25 to 34,98,0,83,1,10,2,0,2,12,5
,35 to 49,146,0,136,0,6,1,1,2,9,2
,50 to 64,121,0,116,0,1,0,0,4,3,2
,65 to 74,41,0,41,0,0,0,0,0,1,0
,75 and over,26,0,26,0,0,0,0,0,0,0
S01000058,All people,712,7,633,0,38,12,1,21,66,20
,0 to 15,118,7,98,0,7,0,0,6,13,2
,16 to 19,27,0,22,0,2,2,0,1,2,3
,20 to 24,39,0,28,0,7,3,0,1,3,1
,25 to 34,68,0,54,0,9,3,0,2,11,3
,35 to 49,170,0,148,0,11,1,1,9,24,6
,50 to 64,169,0,162,0,2,3,0,2,7,5
,65 to 74,66,0,66,0,0,0,0,0,2,0
,75 and over,55,0,55,0,0,0,0,0,4,0
S01000059,All people,957,18,745,4,90,24,12,64,59,50
,0 to 15,152,18,105,0,10,2,0,17,4,6
,16 to 19,35,0,27,0,3,4,0,1,1,5
,20 to 24,45,0,18,0,15,1,4,7,4,6
,25 to 34,175,0,109,0,32,10,3,21,32,16
,35 to 49,239,0,190,2,24,7,0,16,12,16
,50 to 64,200,0,188,1,4,0,5,2,1,1
,65 to 74,72,0,69,1,2,0,0,0,1,0
,75 and over,39,0,39,0,0,0,0,0,4,0
S01000060,All people,634,8,584,5,30,4,0,3,56,7
,0 to 15,169,8,155,1,5,0,0,0,16,2
,16 to 19,30,0,27,0,2,1,0,0,6,0
,20 to 24,49,0,33,3,9,2,0,2,9,1
,25 to 34,120,0,108,1,9,1,0,1,16,3
,35 to 49,131,0,128,0,3,0,0,0,6,0
,50 to 64,92,0,90,0,2,0,0,0,1,1
,65 to 74,23,0,23,0,0,0,0,0,1,0
,75 and over,20,0,20,0,0,0,0,0,1,0
S01000061,All people,"1,001",11,889,0,43,12,16,30,53,32
,0 to 15,127,11,97,0,7,1,3,8,7,4
,16 to 19,35,0,29,0,5,0,1,0,0,8
,20 to 24,29,0,21,0,1,4,3,0,3,0
,25 to 34,95,0,71,0,13,3,3,5,12,9
,35 to 49,210,0,177,0,13,2,5,13,13,9
,50 to 64,219,0,210,0,2,2,1,4,1,2
,65 to 74,119,0,119,0,0,0,0,0,2,0
,75 and over,167,0,165,0,2,0,0,0,15,0
S01000062,All people,"1,038",15,790,1,116,53,8,55,134,39
,0 to 15,126,15,94,0,7,2,0,8,18,2
,16 to 19,38,0,22,0,8,6,0,2,3,6
,20 to 24,99,0,34,0,33,14,3,15,24,7
,25 to 34,283,0,189,1,47,21,3,22,68,14
,35 to 49,233,0,200,0,17,8,1,7,15,6
,50 to 64,160,0,152,0,4,2,1,1,4,4
,65 to 74,58,0,58,0,0,0,0,0,0,0
,75 and over,41,0,41,0,0,0,0,0,2,0
S01000063,All people,910,10,772,1,55,29,4,39,77,26
,0 to 15,181,10,153,0,5,1,0,12,9,0
,16 to 19,29,0,24,0,1,4,0,0,9,7
,20 to 24,35,0,22,0,5,5,1,2,18,6
,25 to 34,115,0,74,0,23,8,3,7,13,7
,35 to 49,240,0,200,1,16,8,0,15,16,4
,50 to 64,173,0,167,0,2,1,0,3,6,1
,65 to 74,71,0,68,0,3,0,0,0,3,0
,75 and over,66,0,64,0,0,2,0,0,3,1
S01000064,All people,623,7,525,5,56,14,2,14,64,21
,0 to 15,76,7,59,0,9,1,0,0,4,6
,16 to 19,31,0,26,1,3,1,0,0,4,1
,20 to 24,54,0,36,2,9,6,1,0,8,0
,25 to 34,94,0,74,0,15,1,0,4,22,9
,35 to 49,136,0,111,2,14,0,1,8,11,2
,50 to 64,140,0,127,0,6,5,0,2,9,3
,65 to 74,55,0,55,0,0,0,0,0,3,0
,75 and over,37,0,37,0,0,0,0,0,3,0
S01000065,All people,"1,002",13,829,1,81,41,14,23,88,45
,0 to 15,103,13,82,0,6,1,0,1,13,5
,16 to 19,37,0,24,1,5,5,0,2,2,2
,20 to 24,102,0,60,0,20,13,4,5,4,7
,25 to 34,236,0,177,0,38,7,6,8,35,14
,35 to 49,246,0,214,0,12,11,2,7,25,10
,50 to 64,156,0,150,0,0,4,2,0,8,6
,65 to 74,70,0,70,0,0,0,0,0,1,0
,75 and over,52,0,52,0,0,0,0,0,0,1
S01000066,All people,959,8,669,14,153,70,19,26,142,57
,0 to 15,68,8,38,1,17,2,0,2,25,1
,16 to 19,25,0,19,0,4,0,0,2,2,1
,20 to 24,126,0,56,3,34,17,4,12,21,9
,25 to 34,271,0,154,8,64,33,6,6,58,21
,35 to 49,233,0,177,1,26,17,8,4,24,19
,50 to 64,145,0,135,1,7,1,1,0,12,5
,65 to 74,57,0,57,0,0,0,0,0,0,1
,75 and over,34,0,33,0,1,0,0,0,0,0
S01000067,All people,"1,065",10,896,1,87,25,20,26,71,29
,0 to 15,130,10,90,0,17,2,4,7,13,6
,16 to 19,25,0,23,0,2,0,0,0,3,2
,20 to 24,49,0,22,0,15,6,3,3,6,1
,25 to 34,173,0,121,0,30,7,11,4,25,10
,35 to 49,191,0,168,0,7,4,1,11,16,6
,50 to 64,218,0,201,0,10,5,1,1,4,3
,65 to 74,103,0,98,0,5,0,0,0,1,1
,75 and over,176,0,173,1,1,1,0,0,3,0
S01000068,All people,879,11,736,0,60,30,7,35,64,19
,0 to 15,142,11,107,0,12,4,0,8,6,0
,16 to 19,38,0,31,0,5,1,0,1,2,4
,20 to 24,39,0,30,0,5,2,2,0,5,0
,25 to 34,112,0,75,0,15,10,0,12,21,5
,35 to 49,202,0,168,0,12,7,3,12,22,3
,50 to 64,156,0,147,0,2,3,2,2,5,7
,65 to 74,59,0,56,0,3,0,0,0,0,0
,75 and over,131,0,122,0,6,3,0,0,3,0
S01000069,All people,718,9,612,1,63,7,2,24,69,6
,0 to 15,104,9,79,0,8,0,0,8,8,2
,16 to 19,31,0,26,0,4,1,0,0,3,2
,20 to 24,65,0,42,0,15,3,2,3,7,0
,25 to 34,119,0,86,1,23,3,0,6,19,1
,35 to 49,149,0,132,0,10,0,0,7,17,1
,50 to 64,123,0,121,0,2,0,0,0,11,0
,65 to 74,61,0,60,0,1,0,0,0,2,0
,75 and over,66,0,66,0,0,0,0,0,2,0
S01000070,All people,658,6,608,0,29,2,4,9,41,18
,0 to 15,136,6,124,0,5,0,0,1,14,6
,16 to 19,35,0,33,0,0,0,1,1,1,0
,20 to 24,46,0,37,0,9,0,0,0,5,2
,25 to 34,83,0,74,0,6,1,0,2,12,8
,35 to 49,161,0,146,0,9,0,1,5,5,1
,50 to 64,99,0,97,0,0,0,2,0,2,0
,65 to 74,61,0,60,0,0,1,0,0,1,0
,75 and over,37,0,37,0,0,0,0,0,1,1
S01000071,All people,812,15,707,0,52,16,2,20,60,12
,0 to 15,154,15,127,0,7,1,0,4,8,3
,16 to 19,30,0,23,0,3,2,0,2,1,0
,20 to 24,53,0,39,0,8,3,0,3,6,4
,25 to 34,171,0,129,0,21,10,2,9,20,1
,35 to 49,174,0,164,0,8,0,0,2,14,2
,50 to 64,145,0,143,0,2,0,0,0,6,2
,65 to 74,51,0,49,0,2,0,0,0,2,0
,75 and over,34,0,33,0,1,0,0,0,3,0
S01000072,All people,907,9,797,7,58,19,3,14,51,22
,0 to 15,138,9,110,2,11,5,0,1,12,5
,16 to 19,35,0,31,0,3,0,0,1,3,3
,20 to 24,51,0,38,1,3,3,1,5,5,0
,25 to 34,91,0,73,1,13,2,0,2,11,6
,35 to 49,167,0,141,2,14,7,2,1,12,2
,50 to 64,187,0,175,1,6,1,0,4,3,4
,65 to 74,107,0,104,0,2,1,0,0,1,2
,75 and over,131,0,125,0,6,0,0,0,4,0
S01000073,All people,630,6,580,0,25,8,0,11,36,9
,0 to 15,104,6,88,0,4,0,0,6,7,0
,16 to 19,31,0,31,0,0,0,0,0,0,3
,20 to 24,27,0,23,0,2,1,0,1,7,0
,25 to 34,48,0,40,0,5,3,0,0,8,2
,35 to 49,137,0,126,0,5,2,0,4,6,2
,50 to 64,149,0,144,0,3,2,0,0,3,2
,65 to 74,78,0,75,0,3,0,0,0,1,0
,75 and over,56,0,53,0,3,0,0,0,4,0
S01000074,All people,870,22,770,6,52,16,0,4,62,8
,0 to 15,229,22,192,0,10,4,0,1,18,0
,16 to 19,49,0,39,0,7,3,0,0,10,0
,20 to 24,51,0,39,0,4,6,0,2,10,1
,25 to 34,125,0,110,0,15,0,0,0,9,1
,35 to 49,211,0,196,2,10,2,0,1,10,3
,50 to 64,112,0,109,0,2,1,0,0,2,2
,65 to 74,55,0,51,3,1,0,0,0,1,1
,75 and over,38,0,34,1,3,0,0,0,2,0
S01000075,All people,539,4,413,4,69,27,9,13,56,24
,0 to 15,31,4,24,0,0,0,1,2,2,3
,16 to 19,15,0,6,0,5,4,0,0,1,2
,20 to 24,73,0,30,1,26,11,2,3,12,2
,25 to 34,145,0,101,3,21,8,4,8,28,11
,35 to 49,83,0,71,0,11,1,0,0,10,2
,50 to 64,77,0,67,0,5,3,2,0,2,2
,65 to 74,53,0,52,0,1,0,0,0,0,0
,75 and over,62,0,62,0,0,0,0,0,1,2
S01000076,All people,721,6,678,0,23,6,2,6,20,12
,0 to 15,103,6,93,0,4,0,0,0,3,2
,16 to 19,27,0,26,0,0,1,0,0,1,5
,20 to 24,31,0,26,0,3,0,2,0,2,0
,25 to 34,59,0,48,0,6,3,0,2,6,3
,35 to 49,138,0,128,0,7,0,0,3,6,2
,50 to 64,145,0,140,0,2,2,0,1,2,0
,65 to 74,103,0,103,0,0,0,0,0,0,0
,75 and over,115,0,114,0,1,0,0,0,0,0
S01000077,All people,951,12,795,0,83,34,9,18,76,23
,0 to 15,183,12,154,0,10,4,0,3,11,1
,16 to 19,35,0,33,0,1,1,0,0,1,4
,20 to 24,81,0,45,0,21,11,4,0,15,3
,25 to 34,150,0,100,0,29,13,4,4,32,9
,35 to 49,238,0,207,0,19,3,1,8,8,3
,50 to 64,158,0,151,0,2,2,0,3,9,2
,65 to 74,59,0,58,0,1,0,0,0,0,1
,75 and over,47,0,47,0,0,0,0,0,0,0
S01000078,All people,"1,097",21,738,30,140,54,14,100,190,39
,0 to 15,119,21,62,5,10,3,0,18,25,4
,16 to 19,37,0,21,0,5,6,0,5,7,0
,20 to 24,165,0,74,3,57,11,2,18,39,10
,25 to 34,331,0,199,9,49,26,6,42,81,12
,35 to 49,256,0,218,6,14,4,5,9,30,9
,50 to 64,151,0,127,6,5,4,1,8,5,3
,65 to 74,14,0,13,1,0,0,0,0,1,1
,75 and over,24,0,24,0,0,0,0,0,2,0
S01000079,All people,"1,448",15,"1,016",6,230,99,33,49,193,83
,0 to 15,134,15,98,1,12,1,0,7,11,9
,16 to 19,48,0,28,0,12,5,0,3,8,2
,20 to 24,227,0,106,0,64,40,7,10,41,12
,25 to 34,537,0,355,4,113,34,15,16,96,30
,35 to 49,276,0,218,1,23,15,9,10,29,26
,50 to 64,144,0,134,0,1,4,2,3,6,4
,65 to 74,45,0,45,0,0,0,0,0,2,0
,75 and over,37,0,32,0,5,0,0,0,0,0
S01000080,All people,"1,015",16,704,3,148,69,19,56,92,60
,0 to 15,95,16,64,0,8,0,4,3,6,4
,16 to 19,40,0,14,0,18,5,3,0,4,3
,20 to 24,142,0,60,1,37,30,3,11,19,11
,25 to 34,312,0,196,1,58,21,6,30,39,33
,35 to 49,214,0,172,0,21,10,2,9,18,8
,50 to 64,125,0,113,1,4,3,1,3,3,1
,65 to 74,49,0,48,0,1,0,0,0,1,0
,75 and over,38,0,37,0,1,0,0,0,2,0
S01000081,All people,889,3,787,3,43,13,6,34,44,40
,0 to 15,144,3,119,1,4,2,0,15,6,11
,16 to 19,43,0,42,0,1,0,0,0,4,3
,20 to 24,38,0,27,1,7,1,2,0,8,3
,25 to 34,85,0,65,0,9,2,1,8,12,7
,35 to 49,229,0,199,1,15,3,2,9,7,12
,50 to 64,201,0,190,0,6,3,0,2,3,3
,65 to 74,74,0,74,0,0,0,0,0,1,0
,75 and over,75,0,71,0,1,2,1,0,3,1
S01000082,All people,933,4,836,2,61,21,2,7,94,24
,0 to 15,128,4,116,0,8,0,0,0,9,4
,16 to 19,36,0,31,0,3,2,0,0,9,4
,20 to 24,62,0,43,0,6,11,1,1,13,0
,25 to 34,163,0,138,0,17,5,0,3,33,8
,35 to 49,194,0,179,1,7,3,1,3,17,1
,50 to 64,165,0,157,1,7,0,0,0,7,7
,65 to 74,91,0,85,0,6,0,0,0,2,0
,75 and over,94,0,87,0,7,0,0,0,4,0
S01000083,All people,774,8,609,1,72,35,3,46,70,45
,0 to 15,142,8,113,0,6,2,0,13,8,3
,16 to 19,26,0,22,0,4,0,0,0,4,3
,20 to 24,66,0,30,0,18,12,1,5,10,4
,25 to 34,165,0,107,1,29,11,2,15,23,25
,35 to 49,197,0,171,0,10,5,0,11,17,9
,50 to 64,107,0,97,0,3,5,0,2,5,1
,65 to 74,38,0,36,0,2,0,0,0,1,0
,75 and over,33,0,33,0,0,0,0,0,2,0
S01000084,All people,859,16,585,11,149,19,6,73,97,28
,0 to 15,86,16,37,0,18,1,0,14,9,2
,16 to 19,30,0,8,0,10,4,0,8,7,0
,20 to 24,108,0,55,4,36,5,1,7,18,5
,25 to 34,227,0,149,4,49,4,2,19,35,10
,35 to 49,222,0,174,2,23,3,3,17,18,11
,50 to 64,135,0,113,0,12,2,0,8,6,0
,65 to 74,31,0,30,1,0,0,0,0,1,0
,75 and over,20,0,19,0,1,0,0,0,3,0
S01000085,All people,520,0,345,1,108,39,10,17,114,32
,0 to 15,22,0,18,0,2,1,0,1,7,4
,16 to 19,12,0,4,0,6,1,1,0,4,0
,20 to 24,107,0,40,0,43,18,4,2,21,5
,25 to 34,217,0,141,0,46,13,4,13,54,14
,35 to 49,97,0,79,1,10,6,0,1,23,8
,50 to 64,39,0,38,0,1,0,0,0,4,1
,65 to 74,16,0,15,0,0,0,1,0,1,0
,75 and over,10,0,10,0,0,0,0,0,0,0
S01000086,All people,725,9,515,0,96,25,19,61,69,33
,0 to 15,86,9,62,0,5,0,2,8,1,4
,16 to 19,15,0,11,0,1,1,1,1,0,1
,20 to 24,80,0,33,0,30,6,4,7,16,9
,25 to 34,188,0,111,0,37,11,6,23,39,9
,35 to 49,177,0,136,0,11,5,5,20,8,9
,50 to 64,107,0,98,0,4,2,1,2,2,1
,65 to 74,23,0,23,0,0,0,0,0,2,0
,75 and over,49,0,41,0,8,0,0,0,1,0
S01000087,All people,"1,071",17,822,5,86,40,28,73,111,46
,0 to 15,141,17,102,0,7,3,4,8,24,7
,16 to 19,30,0,25,0,3,1,0,1,1,6
,20 to 24,73,0,39,0,13,6,4,11,11,0
,25 to 34,203,0,112,3,34,13,6,35,33,16
,35 to 49,231,0,186,0,14,8,11,12,29,9
,50 to 64,211,0,182,2,13,6,2,6,11,8
,65 to 74,63,0,58,0,1,3,1,0,1,0
,75 and over,119,0,118,0,1,0,0,0,1,0
S01000088,All people,934,13,680,4,129,56,21,31,101,77
,0 to 15,82,13,65,0,2,0,1,1,6,6
,16 to 19,27,0,19,0,3,5,0,0,0,1
,20 to 24,131,0,52,0,46,19,4,10,24,12
,25 to 34,352,0,243,2,64,22,10,11,52,46
,35 to 49,184,0,153,2,12,4,5,8,15,10
,50 to 64,110,0,100,0,2,6,1,1,3,2
,65 to 74,24,0,24,0,0,0,0,0,1,0
,75 and over,24,0,24,0,0,0,0,0,0,0
S01000089,All people,947,10,845,0,43,22,3,24,40,15
,0 to 15,126,10,97,0,6,6,1,6,5,3
,16 to 19,35,0,34,0,1,0,0,0,2,4
,20 to 24,38,0,32,0,5,1,0,0,5,1
,25 to 34,72,0,52,0,7,4,1,8,12,2
,35 to 49,182,0,153,0,14,5,1,9,10,4
,50 to 64,227,0,221,0,4,1,0,1,1,1
,65 to 74,105,0,102,0,0,3,0,0,2,0
,75 and over,162,0,154,0,6,2,0,0,3,0
S01000090,All people,769,5,560,8,103,41,15,37,103,25
,0 to 15,87,5,65,1,11,0,3,2,4,1
,16 to 19,29,0,20,1,2,6,0,0,3,6
,20 to 24,77,0,30,1,28,11,1,6,19,6
,25 to 34,225,0,140,5,40,20,5,15,57,8
,35 to 49,152,0,122,0,17,1,4,8,13,4
,50 to 64,128,0,115,0,5,1,2,5,2,0
,65 to 74,40,0,37,0,0,2,0,1,1,0
,75 and over,31,0,31,0,0,0,0,0,4,0
S01000091,All people,"1,096",11,778,1,167,64,19,56,127,59
,0 to 15,71,11,50,0,3,0,0,7,13,1
,16 to 19,40,0,19,0,13,7,0,1,1,0
,20 to 24,167,0,74,0,48,25,8,12,29,17
,25 to 34,391,0,261,1,68,25,7,29,66,24
,35 to 49,202,0,170,0,22,4,3,3,15,14
,50 to 64,119,0,112,0,0,2,1,4,3,1
,65 to 74,33,0,29,0,4,0,0,0,0,1
,75 and over,73,0,63,0,9,1,0,0,0,1
S01000092,All people,906,7,596,2,139,64,27,71,162,52
,0 to 15,47,7,34,0,2,0,1,3,10,2
,16 to 19,26,0,6,0,4,9,0,7,1,1
,20 to 24,171,0,63,0,55,23,12,18,43,15
,25 to 34,367,0,242,1,59,25,10,30,86,27
,35 to 49,168,0,135,1,14,5,1,12,15,6
,50 to 64,78,0,69,0,4,2,2,1,6,0
,65 to 74,17,0,16,0,1,0,0,0,0,0
,75 and over,32,0,31,0,0,0,1,0,1,1
S01000093,All people,735,20,512,2,108,41,26,26,102,40
,0 to 15,81,20,52,0,8,0,1,0,10,2
,16 to 19,31,0,14,0,9,5,1,2,1,2
,20 to 24,129,0,81,1,29,13,1,4,18,8
,25 to 34,228,0,149,1,42,12,15,9,44,21
,35 to 49,144,0,109,0,15,10,3,7,20,6
,50 to 64,102,0,87,0,5,1,5,4,5,1
,65 to 74,15,0,15,0,0,0,0,0,4,0
,75 and over,5,0,5,0,0,0,0,0,0,0
S01000094,All people,712,4,421,3,173,57,16,38,161,71
,0 to 15,34,4,25,0,3,2,0,0,11,8
,16 to 19,53,0,6,0,32,12,0,3,2,0
,20 to 24,197,0,67,0,86,26,10,8,58,38
,25 to 34,247,0,161,3,44,14,6,19,68,22
,35 to 49,120,0,106,0,6,3,0,5,18,2
,50 to 64,37,0,33,0,1,0,0,3,3,1
,65 to 74,12,0,11,0,1,0,0,0,0,0
,75 and over,12,0,12,0,0,0,0,0,1,0
S01000095,All people,717,4,532,0,91,35,14,41,98,34
,0 to 15,74,4,64,0,2,0,0,4,11,1
,16 to 19,24,0,16,0,1,5,1,1,3,2
,20 to 24,72,0,30,0,24,14,4,0,18,3
,25 to 34,223,0,138,0,47,10,9,19,36,17
,35 to 49,152,0,123,0,15,2,0,12,26,8
,50 to 64,113,0,102,0,2,4,0,5,3,3
,65 to 74,31,0,31,0,0,0,0,0,0,0
,75 and over,28,0,28,0,0,0,0,0,1,0
S01000096,All people,690,7,628,0,38,9,1,7,42,7
,0 to 15,99,7,86,0,4,2,0,0,6,0
,16 to 19,28,0,26,0,1,1,0,0,1,0
,20 to 24,25,0,17,0,6,2,0,0,6,2
,25 to 34,87,0,71,0,14,0,0,2,12,4
,35 to 49,153,0,142,0,6,1,1,3,10,0
,50 to 64,114,0,106,0,5,1,0,2,3,1
,65 to 74,85,0,85,0,0,0,0,0,3,0
,75 and over,99,0,95,0,2,2,0,0,1,0
S01000097,All people,"1,001",11,811,9,77,30,15,48,59,38
,0 to 15,192,11,146,4,16,2,3,10,5,4
,16 to 19,57,0,47,0,5,3,1,1,3,7
,20 to 24,40,0,28,0,0,10,0,2,3,6
,25 to 34,112,0,75,0,12,9,7,9,10,9
,35 to 49,221,0,176,5,18,5,4,13,14,5
,50 to 64,240,0,215,0,13,0,0,12,15,6
,65 to 74,71,0,67,0,3,0,0,1,6,1
,75 and over,68,0,57,0,10,1,0,0,3,0
S01000098,All people,"1,240",12,804,8,222,88,22,84,172,82
,0 to 15,80,12,52,1,6,2,1,6,8,8
,16 to 19,41,0,19,0,12,8,0,2,8,1
,20 to 24,265,0,107,2,93,37,5,21,38,29
,25 to 34,465,0,293,4,82,30,9,47,76,32
,35 to 49,224,0,182,1,21,9,6,5,30,8
,50 to 64,122,0,111,0,5,2,1,3,10,4
,65 to 74,28,0,27,0,1,0,0,0,1,0
,75 and over,15,0,13,0,2,0,0,0,1,0
S01000099,All people,811,6,732,0,40,1,4,28,32,10
,0 to 15,112,6,90,0,11,0,0,5,7,0
,16 to 19,32,0,28,0,3,0,0,1,1,3
,20 to 24,36,0,33,0,1,0,0,2,1,2
,25 to 34,78,0,60,0,9,1,1,7,2,2
,35 to 49,181,0,158,0,12,0,2,9,14,0
,50 to 64,179,0,170,0,4,0,1,4,3,3
,65 to 74,100,0,100,0,0,0,0,0,0,0
,75 and over,93,0,93,0,0,0,0,0,4,0
S01000100,All people,871,11,514,2,194,75,16,59,179,44
,0 to 15,54,11,34,0,5,1,1,2,11,3
,16 to 19,28,0,7,0,6,9,0,6,4,1
,20 to 24,177,0,67,0,53,32,6,19,40,15
,25 to 34,331,0,189,0,93,24,4,21,77,16
,35 to 49,151,0,106,2,28,7,3,5,32,9
,50 to 64,99,0,82,0,7,2,2,6,13,0
,65 to 74,11,0,9,0,2,0,0,0,1,0
,75 and over,20,0,20,0,0,0,0,0,1,0
S01000101,All people,888,12,690,9,74,36,23,44,97,41
,0 to 15,140,12,108,3,4,1,4,8,10,6
,16 to 19,26,0,15,0,7,0,1,3,4,2
,20 to 24,74,0,34,0,17,19,3,1,24,7
,25 to 34,159,0,102,2,27,11,9,8,38,8
,35 to 49,227,0,190,3,12,1,6,15,14,9
,50 to 64,166,0,149,1,6,1,0,9,3,9
,65 to 74,45,0,42,0,1,2,0,0,0,0
,75 and over,51,0,50,0,0,1,0,0,4,0
S01000102,All people,795,5,576,2,118,45,16,33,151,28
,0 to 15,61,5,47,0,6,1,2,0,9,1
,16 to 19,40,0,20,0,15,4,0,1,5,0
,20 to 24,139,0,55,0,56,16,7,5,52,13
,25 to 34,206,0,136,2,25,16,4,23,57,11
,35 to 49,127,0,105,0,10,6,2,4,19,2
,50 to 64,126,0,119,0,5,1,1,0,6,0
,65 to 74,53,0,52,0,0,1,0,0,0,1
,75 and over,43,0,42,0,1,0,0,0,3,0
S01000103,All people,628,10,414,0,124,47,16,17,104,51
,0 to 15,55,10,40,0,4,0,0,1,1,3
,16 to 19,45,0,20,0,16,9,0,0,1,0
,20 to 24,134,0,53,0,54,19,7,1,35,6
,25 to 34,194,0,129,0,34,11,6,14,51,27
,35 to 49,114,0,93,0,14,4,2,1,9,12
,50 to 64,61,0,55,0,2,3,1,0,6,1
,65 to 74,13,0,12,0,0,1,0,0,0,2
,75 and over,12,0,12,0,0,0,0,0,1,0
S01000104,All people,905,7,768,6,48,26,3,47,53,26
,0 to 15,187,7,142,2,11,8,0,17,5,2
,16 to 19,44,0,40,0,4,0,0,0,7,6
,20 to 24,31,0,23,0,4,4,0,0,8,3
,25 to 34,66,0,45,0,13,2,1,5,13,10
,35 to 49,214,0,172,3,10,7,1,21,12,1
,50 to 64,209,0,196,1,4,3,1,4,6,3
,65 to 74,79,0,78,0,1,0,0,0,1,1
,75 and over,75,0,72,0,1,2,0,0,1,0
S01000105,All people,870,9,767,3,47,24,8,12,51,31
,0 to 15,117,9,96,0,7,1,2,2,6,7
,16 to 19,32,0,29,0,1,2,0,0,1,1
,20 to 24,43,0,33,0,3,4,1,2,6,0
,25 to 34,158,0,121,1,18,12,3,3,27,11
,35 to 49,163,0,145,0,11,3,1,3,8,6
,50 to 64,219,0,207,0,7,2,1,2,3,6
,65 to 74,85,0,84,1,0,0,0,0,0,0
,75 and over,53,0,52,1,0,0,0,0,0,0
S01000106,All people,724,4,603,0,49,20,6,42,28,24
,0 to 15,158,4,137,0,4,4,0,9,4,0
,16 to 19,38,0,30,0,4,1,0,3,2,8
,20 to 24,29,0,15,0,7,3,1,3,2,2
,25 to 34,84,0,54,0,14,5,4,7,11,5
,35 to 49,197,0,154,0,17,7,1,18,6,1
,50 to 64,143,0,138,0,3,0,0,2,3,4
,65 to 74,43,0,43,0,0,0,0,0,0,3
,75 and over,32,0,32,0,0,0,0,0,0,1
S01000107,All people,"1,269",17,762,7,262,91,23,107,196,69
,0 to 15,88,17,58,0,5,2,1,5,2,5
,16 to 19,73,0,12,0,30,14,0,17,0,1
,20 to 24,321,0,113,1,120,34,7,46,77,28
,25 to 34,480,0,311,5,89,32,9,34,91,27
,35 to 49,184,0,159,1,13,3,4,4,16,5
,50 to 64,103,0,89,0,5,6,2,1,5,3
,65 to 74,14,0,14,0,0,0,0,0,4,0
,75 and over,6,0,6,0,0,0,0,0,1,0
S01000108,All people,753,11,501,2,130,41,15,53,100,33
,0 to 15,54,11,34,0,4,1,0,4,6,4
,16 to 19,28,0,13,0,10,5,0,0,2,0
,20 to 24,108,0,35,0,42,14,6,11,42,9
,25 to 34,185,0,105,0,32,11,4,33,32,9
,35 to 49,133,0,112,2,7,6,3,3,6,5
,50 to 64,127,0,107,0,14,2,2,2,9,2
,65 to 74,38,0,33,0,5,0,0,0,1,2
,75 and over,80,0,62,0,16,2,0,0,2,2
S01000109,All people,"1,019",3,706,2,167,57,17,67,170,52
,0 to 15,28,3,17,0,1,0,2,5,5,4
,16 to 19,33,0,6,0,17,7,1,2,8,1
,20 to 24,224,0,90,0,83,23,2,26,65,13
,25 to 34,314,0,218,1,44,18,8,25,60,25
,35 to 49,143,0,121,0,9,6,2,5,22,9
,50 to 64,149,0,129,0,12,2,2,4,9,0
,65 to 74,66,0,65,0,1,0,0,0,0,0
,75 and over,62,0,60,1,0,1,0,0,1,0
S01000110,All people,846,7,766,4,37,21,1,10,41,7
,0 to 15,120,7,97,2,3,5,0,6,5,1
,16 to 19,30,0,25,0,2,3,0,0,1,1
,20 to 24,24,0,20,0,3,1,0,0,7,2
,25 to 34,57,0,45,2,8,1,1,0,11,2
,35 to 49,151,0,137,0,5,5,0,4,5,0
,50 to 64,163,0,152,0,6,5,0,0,5,0
,65 to 74,125,0,119,0,6,0,0,0,1,0
,75 and over,176,0,171,0,4,1,0,0,6,1
S01000111,All people,791,8,623,3,81,28,8,40,83,33
,0 to 15,134,8,100,0,13,6,0,7,17,6
,16 to 19,24,0,18,0,2,0,0,4,4,2
,20 to 24,74,0,39,2,16,6,3,8,14,3
,25 to 34,156,0,107,1,30,7,3,8,26,12
,35 to 49,184,0,151,0,16,7,0,10,14,8
,50 to 64,117,0,108,0,3,2,2,2,8,2
,65 to 74,54,0,54,0,0,0,0,0,0,0
,75 and over,48,0,46,0,1,0,0,1,0,0
S01000112,All people,983,7,757,0,128,47,7,37,129,45
,0 to 15,92,7,73,0,9,1,0,2,17,0
,16 to 19,46,0,30,0,8,7,1,0,7,1
,20 to 24,161,0,80,0,55,16,1,9,24,12
,25 to 34,247,0,179,0,27,17,3,21,49,17
,35 to 49,204,0,181,0,18,2,0,3,22,11
,50 to 64,122,0,115,0,1,3,2,1,6,1
,65 to 74,38,0,32,0,4,1,0,1,1,0
,75 and over,73,0,67,0,6,0,0,0,3,3
